POST_CODE,POST_CODE,Offence Division,Sum
0,3003,A Crimes against the person,13
1,3003,B Property and deception offences,17
2,3003,C Drug offences,3
3,3003,D Public order and security offences,7
4,3003,E Justice procedures offences,5
5,3003,F Other offences,4
6,3011,A Crimes against the person,25
7,3011,B Property and deception offences,31
8,3011,C Drug offences,6
9,3011,D Public order and security offences,13
10,3011,E Justice procedures offences,10
11,3011,F Other offences,4
12,3012,A Crimes against the person,42
13,3012,B Property and deception offences,65
14,3012,C Drug offences,10
15,3012,D Public order and security offences,17
16,3012,E Justice procedures offences,17
17,3013,A Crimes against the person,15
18,3013,B Property and deception offences,16
19,3013,C Drug offences,4
20,3013,D Public order and security offences,7
21,3013,E Justice procedures offences,7
22,3015,A Crimes against the person,23
23,3015,B Property and deception offences,37
24,3015,C Drug offences,6
25,3015,D Public order and security offences,12
26,3015,E Justice procedures offences,9
27,3015,F Other offences,1
28,3016,A Crimes against the person,18
29,3016,B Property and deception offences,31
30,3016,C Drug offences,5
31,3016,D Public order and security offences,14
32,3016,E Justice procedures offences,6
33,3016,F Other offences,4
34,3018,A Crimes against the person,20
35,3018,B Property and deception offences,25
36,3018,C Drug offences,5
37,3018,D Public order and security offences,9
38,3018,E Justice procedures offences,10
39,3018,F Other offences,5
40,3019,A Crimes against the person,13
41,3019,B Property and deception offences,16
42,3019,C Drug offences,4
43,3019,D Public order and security offences,7
44,3019,E Justice procedures offences,6
45,3020,A Crimes against the person,49
46,3020,B Property and deception offences,59
47,3020,C Drug offences,13
48,3020,D Public order and security offences,23
49,3020,E Justice procedures offences,24
50,3020,F Other offences,5
51,3021,A Crimes against the person,44
52,3021,B Property and deception offences,53
53,3021,C Drug offences,14
54,3021,D Public order and security offences,19
55,3021,E Justice procedures offences,18
56,3021,F Other offences,3
57,3022,A Crimes against the person,7
58,3022,B Property and deception offences,11
59,3022,C Drug offences,3
60,3022,D Public order and security offences,3
61,3022,E Justice procedures offences,4
62,3022,F Other offences,1
63,3023,A Crimes against the person,61
64,3023,B Property and deception offences,64
65,3023,C Drug offences,15
66,3023,D Public order and security offences,24
67,3023,E Justice procedures offences,25
68,3023,F Other offences,5
69,3024,A Crimes against the person,42
70,3024,B Property and deception offences,50
71,3024,C Drug offences,8
72,3024,D Public order and security offences,13
73,3024,E Justice procedures offences,17
74,3024,F Other offences,1
75,3025,A Crimes against the person,14
76,3025,B Property and deception offences,16
77,3025,C Drug offences,3
78,3025,D Public order and security offences,7
79,3025,E Justice procedures offences,4
80,3025,F Other offences,2
81,3028,A Crimes against the person,37
82,3028,B Property and deception offences,45
83,3028,C Drug offences,10
84,3028,D Public order and security offences,17
85,3028,E Justice procedures offences,12
86,3028,F Other offences,1
87,3029,A Crimes against the person,53
88,3029,B Property and deception offences,60
89,3029,C Drug offences,13
90,3029,D Public order and security offences,23
91,3029,E Justice procedures offences,22
92,3029,F Other offences,9
93,3030,A Crimes against the person,44
94,3030,B Property and deception offences,56
95,3030,C Drug offences,13
96,3030,D Public order and security offences,18
97,3030,E Justice procedures offences,19
98,3030,F Other offences,6
99,3031,A Crimes against the person,33
100,3031,B Property and deception offences,51
101,3031,C Drug offences,8
102,3031,D Public order and security offences,18
103,3031,E Justice procedures offences,14
104,3031,F Other offences,2
105,3032,A Crimes against the person,37
106,3032,B Property and deception offences,40
107,3032,C Drug offences,8
108,3032,D Public order and security offences,15
109,3032,E Justice procedures offences,14
110,3032,F Other offences,1
111,3033,A Crimes against the person,15
112,3033,B Property and deception offences,22
113,3033,C Drug offences,4
114,3033,D Public order and security offences,4
115,3033,E Justice procedures offences,6
116,3034,A Crimes against the person,10
117,3034,B Property and deception offences,14
118,3034,C Drug offences,3
119,3034,D Public order and security offences,5
120,3034,E Justice procedures offences,6
121,3034,F Other offences,2
122,3036,A Crimes against the person,14
123,3036,B Property and deception offences,22
124,3036,C Drug offences,3
125,3036,D Public order and security offences,3
126,3036,E Justice procedures offences,7
127,3036,F Other offences,1
128,3037,A Crimes against the person,42
129,3037,B Property and deception offences,51
130,3037,C Drug offences,12
131,3037,D Public order and security offences,15
132,3037,E Justice procedures offences,19
133,3037,F Other offences,2
134,3038,A Crimes against the person,30
135,3038,B Property and deception offences,34
136,3038,C Drug offences,7
137,3038,D Public order and security offences,14
138,3038,E Justice procedures offences,10
139,3039,A Crimes against the person,18
140,3039,B Property and deception offences,18
141,3039,C Drug offences,3
142,3039,D Public order and security offences,5
143,3039,E Justice procedures offences,6
144,3039,F Other offences,1
145,3040,A Crimes against the person,27
146,3040,B Property and deception offences,33
147,3040,C Drug offences,6
148,3040,D Public order and security offences,11
149,3040,E Justice procedures offences,10
150,3040,F Other offences,3
151,3041,A Crimes against the person,28
152,3041,B Property and deception offences,42
153,3041,C Drug offences,5
154,3041,D Public order and security offences,10
155,3041,E Justice procedures offences,16
156,3042,A Crimes against the person,28
157,3042,B Property and deception offences,37
158,3042,C Drug offences,8
159,3042,D Public order and security offences,12
160,3042,E Justice procedures offences,11
161,3043,A Crimes against the person,36
162,3043,B Property and deception offences,45
163,3043,C Drug offences,9
164,3043,D Public order and security offences,12
165,3043,E Justice procedures offences,18
166,3043,F Other offences,3
167,3044,A Crimes against the person,28
168,3044,B Property and deception offences,31
169,3044,C Drug offences,6
170,3044,D Public order and security offences,7
171,3044,E Justice procedures offences,8
172,3044,F Other offences,2
173,3046,A Crimes against the person,36
174,3046,B Property and deception offences,40
175,3046,C Drug offences,9
176,3046,D Public order and security offences,14
177,3046,E Justice procedures offences,16
178,3046,F Other offences,2
179,3047,A Crimes against the person,41
180,3047,B Property and deception offences,44
181,3047,C Drug offences,9
182,3047,D Public order and security offences,21
183,3047,E Justice procedures offences,19
184,3047,F Other offences,2
185,3048,A Crimes against the person,27
186,3048,B Property and deception offences,29
187,3048,C Drug offences,7
188,3048,D Public order and security offences,9
189,3048,E Justice procedures offences,12
190,3048,F Other offences,3
191,3051,A Crimes against the person,15
192,3051,B Property and deception offences,16
193,3051,C Drug offences,3
194,3051,D Public order and security offences,8
195,3051,E Justice procedures offences,7
196,3051,F Other offences,3
197,3052,A Crimes against the person,23
198,3052,B Property and deception offences,26
199,3052,C Drug offences,3
200,3052,D Public order and security offences,11
201,3052,E Justice procedures offences,8
202,3052,F Other offences,2
203,3053,A Crimes against the person,17
204,3053,B Property and deception offences,16
205,3053,C Drug offences,3
206,3053,D Public order and security offences,8
207,3053,E Justice procedures offences,6
208,3053,F Other offences,1
209,3054,A Crimes against the person,21
210,3054,B Property and deception offences,33
211,3054,C Drug offences,3
212,3054,D Public order and security offences,9
213,3054,E Justice procedures offences,5
214,3055,A Crimes against the person,15
215,3055,B Property and deception offences,18
216,3055,C Drug offences,3
217,3055,D Public order and security offences,5
218,3055,E Justice procedures offences,6
219,3056,A Crimes against the person,18
220,3056,B Property and deception offences,22
221,3056,C Drug offences,4
222,3056,D Public order and security offences,9
223,3056,E Justice procedures offences,8
224,3056,F Other offences,4
225,3057,A Crimes against the person,14
226,3057,B Property and deception offences,16
227,3057,C Drug offences,2
228,3057,D Public order and security offences,7
229,3057,E Justice procedures offences,4
230,3058,A Crimes against the person,27
231,3058,B Property and deception offences,31
232,3058,C Drug offences,8
233,3058,D Public order and security offences,10
234,3058,E Justice procedures offences,13
235,3058,F Other offences,2
236,3059,A Crimes against the person,14
237,3059,B Property and deception offences,14
238,3059,C Drug offences,4
239,3059,D Public order and security offences,7
240,3059,E Justice procedures offences,5
241,3060,A Crimes against the person,21
242,3060,B Property and deception offences,26
243,3060,C Drug offences,4
244,3060,D Public order and security offences,5
245,3060,E Justice procedures offences,9
246,3061,A Crimes against the person,14
247,3061,B Property and deception offences,17
248,3061,C Drug offences,4
249,3061,D Public order and security offences,7
250,3061,E Justice procedures offences,7
251,3061,F Other offences,2
252,3064,A Crimes against the person,60
253,3064,B Property and deception offences,65
254,3064,C Drug offences,16
255,3064,D Public order and security offences,24
256,3064,E Justice procedures offences,26
257,3064,F Other offences,6
258,3065,A Crimes against the person,16
259,3065,B Property and deception offences,19
260,3065,C Drug offences,4
261,3065,D Public order and security offences,9
262,3065,E Justice procedures offences,6
263,3065,F Other offences,1
264,3066,A Crimes against the person,16
265,3066,B Property and deception offences,22
266,3066,C Drug offences,4
267,3066,D Public order and security offences,8
268,3066,E Justice procedures offences,8
269,3066,F Other offences,1
270,3067,A Crimes against the person,16
271,3067,B Property and deception offences,17
272,3067,C Drug offences,3
273,3067,D Public order and security offences,8
274,3067,E Justice procedures offences,7
275,3067,F Other offences,1
276,3068,A Crimes against the person,26
277,3068,B Property and deception offences,38
278,3068,C Drug offences,5
279,3068,D Public order and security offences,13
280,3068,E Justice procedures offences,11
281,3068,F Other offences,3
282,3070,A Crimes against the person,14
283,3070,B Property and deception offences,18
284,3070,C Drug offences,3
285,3070,D Public order and security offences,9
286,3070,E Justice procedures offences,6
287,3070,F Other offences,2
288,3071,A Crimes against the person,14
289,3071,B Property and deception offences,18
290,3071,C Drug offences,3
291,3071,D Public order and security offences,9
292,3071,E Justice procedures offences,7
293,3072,A Crimes against the person,18
294,3072,B Property and deception offences,20
295,3072,C Drug offences,4
296,3072,D Public order and security offences,9
297,3072,E Justice procedures offences,7
298,3072,F Other offences,4
299,3073,A Crimes against the person,17
300,3073,B Property and deception offences,21
301,3073,C Drug offences,5
302,3073,D Public order and security offences,11
303,3073,E Justice procedures offences,8
304,3073,F Other offences,3
305,3074,A Crimes against the person,17
306,3074,B Property and deception offences,17
307,3074,C Drug offences,5
308,3074,D Public order and security offences,8
309,3074,E Justice procedures offences,6
310,3074,F Other offences,2
311,3075,A Crimes against the person,14
312,3075,B Property and deception offences,16
313,3075,C Drug offences,4
314,3075,D Public order and security offences,7
315,3075,E Justice procedures offences,7
316,3075,F Other offences,2
317,3076,A Crimes against the person,17
318,3076,B Property and deception offences,18
319,3076,C Drug offences,5
320,3076,D Public order and security offences,9
321,3076,E Justice procedures offences,7
322,3078,A Crimes against the person,26
323,3078,B Property and deception offences,45
324,3078,C Drug offences,3
325,3078,D Public order and security offences,8
326,3078,E Justice procedures offences,11
327,3079,A Crimes against the person,22
328,3079,B Property and deception offences,27
329,3079,C Drug offences,4
330,3079,D Public order and security offences,7
331,3079,E Justice procedures offences,10
332,3079,F Other offences,1
333,3081,A Crimes against the person,39
334,3081,B Property and deception offences,39
335,3081,C Drug offences,8
336,3081,D Public order and security offences,15
337,3081,E Justice procedures offences,17
338,3081,F Other offences,2
339,3082,A Crimes against the person,17
340,3082,B Property and deception offences,18
341,3082,C Drug offences,6
