POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,SUBURB_NAMES,A Crimes against the person,B Property and deception offences,C Drug offences,D Public order and security offences,E Justice procedures offences,F Other offences,Total Crime 2023
3003,Inner City municipalities and their suburbs,City of Melbourne,Inner,West Melbourne,130,538,60,64,70,7,869
3011,Western municipalities and their suburbs,City of Maribyrnong,Mid,"Footscray, Seddon",434,1402,100,138,287,4,2365
3012,Western municipalities and their suburbs,City of Maribyrnong,Mid,"Brooklyn, Brooklyn, Kingsville, Maidstone, West Footscray",181,1194,39,49,142,0,1605
3013,Western municipalities and their suburbs,City of Maribyrnong,Mid,"Yarraville, Aintree, Bonnie Brook",86,575,30,32,69,0,792
3015,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Newport, Spotswood, South Kingsville",87,595,19,28,63,1,793
3016,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Williamstown, Williamstown North",113,753,30,39,101,5,1041
3018,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Altona, Seaholme",98,309,30,30,77,5,549
3019,Western municipalities and their suburbs,City of Maribyrnong,Mid,Braybrook,154,646,53,52,103,0,1008
3020,Western municipalities and their suburbs,City of Brimbank,Mid,"Albion, Sunshine, Sunshine North, Sunshine West",603,2317,152,196,1114,6,4388
3021,Western municipalities and their suburbs,City of Brimbank,Mid,"Albanvale, Kealba, Kings Park, St Albans",716,1980,206,220,434,9,3565
3022,Western municipalities and their suburbs,City of Brimbank,Mid,Ardeer,32,116,5,10,31,1,195
3023,Western municipalities and their suburbs,City of Brimbank,Mid,"Cairnlea, Deer Park, Burnside, Burnside Heights, Caroline Springs, Cobblebank, Deanside",479,1531,106,104,386,8,2614
3024,Western municipalities and their suburbs,City of Wyndham,Outer,"Manor Lakes, Wyndham Vale, Mambourin",385,912,52,53,196,2,1600
3025,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Altona North, Altona East",102,563,28,38,83,3,817
3028,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Altona Meadows, Laverton South, Laverton, Seabrook, Laverton",266,766,45,61,116,1,1255
3029,Western municipalities and their suburbs,City of Wyndham,Outer,"Truganina, Weir Views, Hoppers Crossing, Tarneit, Truganina",1146,3622,138,204,578,13,5701
3030,Western municipalities and their suburbs,City of Wyndham,Outer,"Derrimut, Point Cook, Sanctuary Lakes, Werribee, Werribee South",1241,3145,228,256,1016,8,5894
3031,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Flemington, Kensington",176,877,152,69,106,2,1382
3032,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Ascot Vale, Travancore, Maribyrnong",298,1557,74,70,152,1,2152
3033,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Keilor East, Keilor East",75,266,19,9,59,0,428
3034,Northern municipalities and their suburbs,City of Moonee Valley,Mid,Avondale Heights,72,186,11,13,71,4,357
3036,Western municipalities and their suburbs,City of Brimbank,Mid,"Keilor, Keilor",29,137,4,7,20,3,200
3037,Western municipalities and their suburbs,City of Brimbank,Mid,"Delahey, Sydenham",192,517,55,55,160,2,981
3038,Western municipalities and their suburbs,City of Brimbank,Mid,"Keilor Downs, Keilor Lodge, Taylors Lakes",196,740,42,48,153,0,1179
3039,Northern municipalities and their suburbs,City of Moonee Valley,Mid,Moonee Ponds,168,709,19,35,129,1,1061
3040,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Aberfeldie, Essendon, Essendon West",170,688,41,45,97,3,1044
