POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,SUBURB_NAMES,2022
3104,Eastern municipalities and their suburbs,City of Boroondara,Mid,Balwyn North,2230000.0
3103,Eastern municipalities and their suburbs,City of Boroondara,Mid,"Balwyn, Deepdene",2925750.0
3124,Eastern municipalities and their suburbs,City of Boroondara,Mid,Camberwell,2650000.0
3122,Eastern municipalities and their suburbs,City of Boroondara,Mid,Hawthorn,2475000.0
3123,Eastern municipalities and their suburbs,City of Boroondara,Mid,Hawthorn East,2521500.0
3101,Eastern municipalities and their suburbs,City of Boroondara,Mid,Kew,2850000.0
3102,Eastern municipalities and their suburbs,City of Boroondara,Mid,"Kew East, Kew North",2147500.0
3127,Eastern municipalities and their suburbs,City of Boroondara,Mid,"Mont Albert, Mont Albert North, Surrey Hills, Mont Albert, Surrey Hills",2094333.3333333333
3153,Eastern municipalities and their suburbs,City of Knox,Mid,"Bayswater, Bayswater North",885750.0
3155,Eastern municipalities and their suburbs,City of Knox,Mid,Boronia,832500.0
3156,Eastern municipalities and their suburbs,City of Knox,Mid,"Ferntree Gully, Lysterfield, Upper Ferntree Gully, Upper Ferntree Gully, Lysterfield, Lysterfield South",1215500.0
3180,Eastern municipalities and their suburbs,City of Knox,Mid,Knoxfield,970000.0
3178,Eastern municipalities and their suburbs,City of Knox,Mid,Rowville,1080000.0
3154,Eastern municipalities and their suburbs,City of Knox,Mid,The Basin,853000.0
3152,Eastern municipalities and their suburbs,City of Knox,Mid,"Wantirna, Wantirna South, Studfield",1094166.6666666667
3105,Eastern municipalities and their suburbs,City of Manningham,Mid,Bulleen,1395000.0
3108,Eastern municipalities and their suburbs,City of Manningham,Mid,Doncaster,1500000.0
3109,Eastern municipalities and their suburbs,City of Manningham,Mid,Doncaster East,1535000.0
3111,Eastern municipalities and their suburbs,City of Manningham,Mid,Donvale,1440000.0
3106,Eastern municipalities and their suburbs,City of Manningham,Mid,Templestowe,1621500.0
3107,Eastern municipalities and their suburbs,City of Manningham,Mid,"Templestowe Lower, Macedon",1231500.0
3136,Eastern municipalities and their suburbs,City of Maroondah,Mid,"Croydon, Croydon Hills, Croydon North, Croydon South",984250.0
3135,Eastern municipalities and their suburbs,City of Maroondah,Mid,"Heathmont, Eastwood, Ringwood East",880666.6666666666
3134,Eastern municipalities and their suburbs,City of Maroondah,Mid,"Ringwood North, Ringwood, Ringwood North, Warranwood",1193833.3333333333
3130,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Blackburn, Blackburn North, Blackburn South",1358666.6666666667
3129,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Box Hill North, Mont Albert North",1484000.0
3128,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Box Hill, Box Hill South",1576250.0
3151,Eastern municipalities and their suburbs,City of Whitehorse,Mid,Burwood East,1257500.0
3125,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Burwood, Burwood",1381000.0
3132,Eastern municipalities and their suburbs,City of Whitehorse,Mid,Mitcham,1200000.0
3131,Eastern municipalities and their suburbs,City of Whitehorse,Mid,"Nunawading, Forest Hill, Nunawading",1152750.0
