POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
3101,Eastern municipalities and their suburbs,City of Boroondara,Mid,1500000.0,1751000.0,1950000.0,2080000.0,2207500.0,2317500.0,2380000.0,2310000.0,2251500.0,2775000.0,2850000.0
3102,Eastern municipalities and their suburbs,City of Boroondara,Mid,1000250.0,1235000.0,1307500.0,1632500.0,1741250.0,1878000.0,1783750.0,1835000.0,1812500.0,2038000.0,2147500.0
3103,Eastern municipalities and their suburbs,City of Boroondara,Mid,1585000.0,1755500.0,1997500.0,2480000.0,2390000.0,2601250.0,2556250.0,2617750.0,2705000.0,3000000.0,2925750.0
3104,Eastern municipalities and their suburbs,City of Boroondara,Mid,997500.0,1240000.0,1452000.0,1850000.0,1800000.0,1950000.0,1810000.0,1720000.0,1900000.0,2252500.0,2230000.0
3122,Eastern municipalities and their suburbs,City of Boroondara,Mid,1405000.0,1575000.0,1606500.0,1916500.0,2245000.0,2650000.0,2506500.0,2200000.0,2512500.0,2915000.0,2475000.0
3123,Eastern municipalities and their suburbs,City of Boroondara,Mid,1300000.0,1247500.0,1554000.0,1850000.0,1890000.0,2350000.0,2221500.0,2087500.0,2383000.0,2300000.0,2521500.0
3124,Eastern municipalities and their suburbs,City of Boroondara,Mid,1300000.0,1382000.0,1655000.0,1912500.0,2090000.0,2300000.0,2155000.0,2070000.0,2072500.0,2567000.0,2650000.0
3127,Eastern municipalities and their suburbs,City of Boroondara,Mid,1026333.3333333334,1211333.3333333333,1346666.6666666667,1671000.0,1737166.6666666667,1945000.0,1783333.3333333333,1653333.3333333333,1829000.0,2087500.0,2094333.3333333333
3152,Eastern municipalities and their suburbs,City of Knox,Mid,512666.6666666667,562500.0,653833.3333333334,792666.6666666666,843000.0,971833.3333333334,937500.0,883166.6666666666,919333.3333333334,1105333.3333333333,1094166.6666666667
3153,Eastern municipalities and their suburbs,City of Knox,Mid,427000.0,463500.0,507500.0,606250.0,660500.0,769000.0,733000.0,707500.0,738250.0,862750.0,885750.0
3154,Eastern municipalities and their suburbs,City of Knox,Mid,410000.0,430000.0,463500.0,550000.0,595000.0,610000.0,682500.0,695000.0,739000.0,875000.0,853000.0
3155,Eastern municipalities and their suburbs,City of Knox,Mid,430000.0,459500.0,500500.0,592500.0,648500.0,735000.0,742500.0,680000.0,715000.0,845000.0,832500.0
3156,Eastern municipalities and their suburbs,City of Knox,Mid,578250.0,624750.0,668750.0,728125.0,834875.0,932375.0,921000.0,766500.0,972375.0,1120000.0,1215500.0
3178,Eastern municipalities and their suburbs,City of Knox,Mid,530000.0,570000.0,617500.0,710000.0,778000.0,867000.0,838000.0,815500.0,838000.0,1000500.0,1080000.0
3180,Eastern municipalities and their suburbs,City of Knox,Mid,465000.0,500000.0,580000.0,681000.0,741000.0,870000.0,815000.0,760000.0,810000.0,980000.0,970000.0
3105,Eastern municipalities and their suburbs,City of Manningham,Mid,707000.0,780000.0,861000.0,1095000.0,1170000.0,1300000.0,1230000.0,1105000.0,1177000.0,1360000.0,1395000.0
3106,Eastern municipalities and their suburbs,City of Manningham,Mid,811000.0,865000.0,951500.0,1180000.0,1260000.0,1415000.0,1308000.0,1292500.0,1381500.0,1603000.0,1621500.0
3107,Eastern municipalities and their suburbs,City of Manningham,Mid,597500.0,620000.0,645000.0,796250.0,845250.0,999000.0,982500.0,940000.0,1036000.0,1280000.0,1231500.0
3108,Eastern municipalities and their suburbs,City of Manningham,Mid,720000.0,850000.0,999000.0,1176000.0,1297500.0,1366500.0,1320000.0,1270000.0,1280000.0,1500000.0,1500000.0
3109,Eastern municipalities and their suburbs,City of Manningham,Mid,682000.0,789000.0,894500.0,1113500.0,1230000.0,1360000.0,1222000.0,1198000.0,1255000.0,1500000.0,1535000.0
3111,Eastern municipalities and their suburbs,City of Manningham,Mid,681000.0,735000.0,840000.0,964000.0,970000.0,1201000.0,1182500.0,1140000.0,1195000.0,1337500.0,1440000.0
3134,Eastern municipalities and their suburbs,City of Maroondah,Mid,573833.3333333334,595166.6666666666,662333.3333333334,783666.6666666666,848833.3333333334,938166.6666666666,942166.6666666666,868666.6666666666,938166.6666666666,1115333.3333333333,1193833.3333333333
3135,Eastern municipalities and their suburbs,City of Maroondah,Mid,449000.0,490333.3333333333,530666.6666666666,615000.0,650833.3333333334,735333.3333333334,732666.6666666666,697333.3333333334,737666.6666666666,893000.0,880666.6666666666
3136,Eastern municipalities and their suburbs,City of Maroondah,Mid,486125.0,506000.0,565250.0,651125.0,717625.0,839250.0,816875.0,778250.0,826375.0,990000.0,984250.0
3125,Eastern municipalities and their suburbs,City of Whitehorse,Mid,765000.0,780000.0,921000.0,1190000.0,1219000.0,1357000.0,1320000.0,1170000.0,1275000.0,1430500.0,1381000.0
3128,Eastern municipalities and their suburbs,City of Whitehorse,Mid,783500.0,820000.0,988500.0,1251500.0,1307750.0,1580750.0,1493000.0,1361250.0,1382500.0,1594750.0,1576250.0
