POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,SUBURB_NAMES,Estimated_Resident_Population
3003,Inner City municipalities and their suburbs,City of Melbourne,Inner,West Melbourne,7619
3011,Western municipalities and their suburbs,City of Maribyrnong,Mid,"Footscray, Seddon",17420
3012,Western municipalities and their suburbs,City of Maribyrnong,Mid,"Brooklyn, Brooklyn, Kingsville, Maidstone, West Footscray",11885
3013,Western municipalities and their suburbs,City of Maribyrnong,Mid,"Yarraville, Aintree, Bonnie Brook",15653
3015,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Newport, Spotswood, South Kingsville",18985
3016,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Williamstown, Williamstown North",16074
3018,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Altona, Seaholme",13652
3019,Western municipalities and their suburbs,City of Maribyrnong,Mid,Braybrook,19361
3020,Western municipalities and their suburbs,City of Brimbank,Mid,"Albion, Sunshine, Sunshine North, Sunshine West",9576
3021,Western municipalities and their suburbs,City of Brimbank,Mid,"Albanvale, Kealba, Kings Park, St Albans",14081
3022,Western municipalities and their suburbs,City of Brimbank,Mid,Ardeer,7595
3023,Western municipalities and their suburbs,City of Brimbank,Mid,"Cairnlea, Deer Park, Burnside, Burnside Heights, Caroline Springs, Cobblebank, Deanside",10144
3024,Western municipalities and their suburbs,City of Wyndham,Outer,"Manor Lakes, Wyndham Vale, Mambourin",10781
3025,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Altona North, Altona East",15086
3028,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Altona Meadows, Laverton South, Laverton, Seabrook, Laverton",18665
3029,Western municipalities and their suburbs,City of Wyndham,Outer,"Truganina, Weir Views, Hoppers Crossing, Tarneit, Truganina",18663
3030,Western municipalities and their suburbs,City of Wyndham,Outer,"Derrimut, Point Cook, Sanctuary Lakes, Werribee, Werribee South",8751
3031,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Flemington, Kensington",9190
3032,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Ascot Vale, Travancore, Maribyrnong",15351
3033,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Keilor East, Keilor East",15174
3034,Northern municipalities and their suburbs,City of Moonee Valley,Mid,Avondale Heights,12471
3036,Western municipalities and their suburbs,City of Brimbank,Mid,"Keilor, Keilor",8596
3037,Western municipalities and their suburbs,City of Brimbank,Mid,"Delahey, Sydenham",8154
3038,Western municipalities and their suburbs,City of Brimbank,Mid,"Keilor Downs, Keilor Lodge, Taylors Lakes",13193
3039,Northern municipalities and their suburbs,City of Moonee Valley,Mid,Moonee Ponds,16406
3040,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Aberfeldie, Essendon, Essendon West",16180
3041,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Essendon North, Strathmore, Strathmore Heights",10108
3042,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Airport West, Niddrie, Keilor Park",8237
3043,Northern municipalities and their suburbs,City of Moreland,Mid,"Gladstone Park, Tullamarine, Gowanbrae, Tullamarine",3141
3044,Northern municipalities and their suburbs,City of Moreland,Mid,"Pascoe Vale, Pascoe Vale South, Coonans Hill",10461
3046,Northern municipalities and their suburbs,City of Moreland,Mid,"Glenroy, Hadfield, Oak Park",6295
3047,Northern municipalities and their suburbs,City of Hume,Outer,"Broadmeadows, Dallas, Jacana",14071
3048,Northern municipalities and their suburbs,City of Hume,Outer,"Coolaroo, Meadow Heights",15078
3051,Inner City municipalities and their suburbs,City of Melbourne,Inner,North Melbourne,15998
3052,Inner City municipalities and their suburbs,City of Melbourne,Inner,Parkville,7446
3053,Inner City municipalities and their suburbs,City of Melbourne,Inner,Carlton,17198
3054,Inner City municipalities and their suburbs,City of Yarra,Inner,"Carlton North, Carlton North, Princes Hill",8295
3055,Northern municipalities and their suburbs,City of Moreland,Mid,Brunswick West,14499
3056,Northern municipalities and their suburbs,City of Moreland,Mid,Brunswick,13091
3057,Northern municipalities and their suburbs,City of Moreland,Mid,Brunswick East,12963
3058,Northern municipalities and their suburbs,City of Moreland,Mid,"Coburg, Coburg East, Coburg North",12672
3059,Northern municipalities and their suburbs,City of Hume,Outer,Greenvale,22391
3060,Northern municipalities and their suburbs,City of Moreland,Mid,Fawkner,14193
3061,Northern municipalities and their suburbs,City of Hume,Outer,Campbellfield,16255
3064,Northern municipalities and their suburbs,City of Hume,Outer,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook",8197
3065,Inner City municipalities and their suburbs,City of Yarra,Inner,Fitzroy,10609
3066,Inner City municipalities and their suburbs,City of Yarra,Inner,Collingwood,9348
3067,Inner City municipalities and their suburbs,City of Yarra,Inner,Abbotsford,9262
3068,Inner City municipalities and their suburbs,City of Yarra,Inner,"Clifton Hill, Fitzroy North",12955
3070,Northern municipalities and their suburbs,City of Darebin,Mid,"Northcote, Westgarth",15230
3071,Northern municipalities and their suburbs,City of Darebin,Mid,Thornbury,19152
3072,Northern municipalities and their suburbs,City of Darebin,Mid,Preston,20997
3073,Northern municipalities and their suburbs,City of Darebin,Mid,Reservoir,14989
3074,Northern municipalities and their suburbs,City of Whittlesea,Outer,Thomastown,20211
3075,Northern municipalities and their suburbs,City of Whittlesea,Outer,Lalor,10032
3076,Northern municipalities and their suburbs,City of Whittlesea,Outer,Epping,13272
3078,Inner City municipalities and their suburbs,City of Yarra,Inner,"Alphington, Fairfield, Alphington, Fairfield",9072
3079,Northern municipalities and their suburbs,City of Banyule,Mid,"Ivanhoe, Ivanhoe East",12561
3081,Northern municipalities and their suburbs,City of Banyule,Mid,"Heidelberg Heights, Heidelberg West",15038
3082,Northern municipalities and their suburbs,City of Whittlesea,Outer,Mill Park,17647
3083,Northern municipalities and their suburbs,City of Banyule,Mid,"Bundoora, Bundoora, Kingsbury, Bundoora",9925
3084,Northern municipalities and their suburbs,City of Banyule,Mid,"Eaglemont, Heidelberg, Rosanna, Viewbank",16202
3087,Northern municipalities and their suburbs,City of Banyule,Mid,"Watsonia, Watsonia North",9303
3088,Northern municipalities and their suburbs,City of Banyule,Mid,"Briar Hill, Greensborough, St Helena, Greensborough",20997
3094,Northern municipalities and their suburbs,City of Banyule,Mid,Montmorency,16658
3095,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,"Eltham, Eltham North, Eltham, Eltham North, Research",23711
3096,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Wattle Glen,14539
3099,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Hurstbridge,3573
3101,Eastern municipalities and their suburbs,City of Boroondara,Mid,Kew,11725
3102,Eastern municipalities and their suburbs,City of Boroondara,Mid,"Kew East, Kew North",6557
3103,Eastern municipalities and their suburbs,City of Boroondara,Mid,"Balwyn, Deepdene",16332
3104,Eastern municipalities and their suburbs,City of Boroondara,Mid,Balwyn North,21411
3105,Eastern municipalities and their suburbs,City of Manningham,Mid,Bulleen,11371
3106,Eastern municipalities and their suburbs,City of Manningham,Mid,Templestowe,17105
3107,Eastern municipalities and their suburbs,City of Manningham,Mid,"Templestowe Lower, Macedon",14278
3108,Eastern municipalities and their suburbs,City of Manningham,Mid,Doncaster,25172
3109,Eastern municipalities and their suburbs,City of Manningham,Mid,Doncaster East,15792
3111,Eastern municipalities and their suburbs,City of Manningham,Mid,Donvale,16406
3113,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Warrandyte,10183
3116,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Chirnside Park,11873
3121,Inner City municipalities and their suburbs,City of Yarra,Inner,"Burnley, Cremorne, Richmond",17972
3122,Eastern municipalities and their suburbs,City of Boroondara,Mid,Hawthorn,10037
3123,Eastern municipalities and their suburbs,City of Boroondara,Mid,Hawthorn East,15898
