POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,POST_CODE,Education_Sector,School_Name,School_Type,Longitude,Latitude,SUBURB_NAMES
0,Inner City municipalities and their suburbs,City of Melbourne,Inner,3053,Government,Carlton Gardens Primary School,Primary,144.96951,-37.80205,Carlton
1,Inner City municipalities and their suburbs,City of Melbourne,Inner,3053,Government,Carlton Primary School,Primary,144.97045,-37.7956,Carlton
2,Inner City municipalities and their suburbs,City of Melbourne,Inner,3054,Government,Carlton North Primary School,Primary,144.97303,-37.79106,"Carlton North, Carlton North, Princes Hill"
3,Inner City municipalities and their suburbs,City of Melbourne,Inner,3054,Government,Princes Hill Primary School,Primary,144.9681,-37.7804,"Carlton North, Carlton North, Princes Hill"
4,Inner City municipalities and their suburbs,City of Melbourne,Inner,3054,Government,Princes Hill Secondary College,Secondary,144.96503,-37.78348,"Carlton North, Carlton North, Princes Hill"
5,Inner City municipalities and their suburbs,City of Yarra,Mid,3054,Government,Carlton North Primary School,Primary,144.97303,-37.79106,"Carlton North, Carlton North, Princes Hill"
6,Inner City municipalities and their suburbs,City of Yarra,Mid,3054,Government,Princes Hill Primary School,Primary,144.9681,-37.7804,"Carlton North, Carlton North, Princes Hill"
7,Inner City municipalities and their suburbs,City of Yarra,Mid,3054,Government,Princes Hill Secondary College,Secondary,144.96503,-37.78348,"Carlton North, Carlton North, Princes Hill"
8,Inner City municipalities and their suburbs,City of Yarra,Mid,3054,Government,Carlton North Primary School,Primary,144.97303,-37.79106,"Carlton North, Carlton North, Princes Hill"
9,Inner City municipalities and their suburbs,City of Yarra,Mid,3054,Government,Princes Hill Primary School,Primary,144.9681,-37.7804,"Carlton North, Carlton North, Princes Hill"
10,Inner City municipalities and their suburbs,City of Yarra,Mid,3054,Government,Princes Hill Secondary College,Secondary,144.96503,-37.78348,"Carlton North, Carlton North, Princes Hill"
11,Inner City municipalities and their suburbs,City of Melbourne,Inner,3031,Government,Flemington Primary School,Primary,144.93392,-37.78067,"Flemington, Kensington"
12,Inner City municipalities and their suburbs,City of Melbourne,Inner,3031,Government,Kensington Primary School,Primary,144.92762,-37.79267,"Flemington, Kensington"
13,Inner City municipalities and their suburbs,City of Melbourne,Inner,3031,Government,Debney Meadows Primary School,Primary,144.93515,-37.78598,"Flemington, Kensington"
14,Inner City municipalities and their suburbs,City of Melbourne,Inner,3031,Government,Mount Alexander 7-12 College,Secondary,144.93324,-37.78215,"Flemington, Kensington"
15,Inner City municipalities and their suburbs,City of Melbourne,Inner,3031,Government,Kensington Community High School,Secondary,144.92558,-37.78791,"Flemington, Kensington"
16,Inner City municipalities and their suburbs,City of Melbourne,Inner,3031,Catholic,St Brendan's School,Primary,144.93173,-37.7847,"Flemington, Kensington"
17,Inner City municipalities and their suburbs,City of Melbourne,Inner,3031,Catholic,Holy Rosary School,Primary,144.92878,-37.79558,"Flemington, Kensington"
18,Inner City municipalities and their suburbs,City of Melbourne,Inner,3031,Government,Flemington Primary School,Primary,144.93392,-37.78067,"Flemington, Kensington"
19,Inner City municipalities and their suburbs,City of Melbourne,Inner,3031,Government,Kensington Primary School,Primary,144.92762,-37.79267,"Flemington, Kensington"
20,Inner City municipalities and their suburbs,City of Melbourne,Inner,3031,Government,Debney Meadows Primary School,Primary,144.93515,-37.78598,"Flemington, Kensington"
21,Inner City municipalities and their suburbs,City of Melbourne,Inner,3031,Government,Mount Alexander 7-12 College,Secondary,144.93324,-37.78215,"Flemington, Kensington"
22,Inner City municipalities and their suburbs,City of Melbourne,Inner,3031,Government,Kensington Community High School,Secondary,144.92558,-37.78791,"Flemington, Kensington"
23,Inner City municipalities and their suburbs,City of Melbourne,Inner,3031,Catholic,St Brendan's School,Primary,144.93173,-37.7847,"Flemington, Kensington"
24,Inner City municipalities and their suburbs,City of Melbourne,Inner,3031,Catholic,Holy Rosary School,Primary,144.92878,-37.79558,"Flemington, Kensington"
25,Inner City municipalities and their suburbs,City of Melbourne,Inner,3051,Government,North Melbourne Primary School,Primary,144.95064,-37.79873,North Melbourne
26,Inner City municipalities and their suburbs,City of Melbourne,Inner,3051,Catholic,St Michaels Primary School,Primary,144.94625,-37.7933,North Melbourne
27,Inner City municipalities and their suburbs,City of Melbourne,Inner,3051,Catholic,St Aloysius College,Secondary,144.94287,-37.79289,North Melbourne
