POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,SUBURB_NAMES,School_Count
3003,Inner City municipalities and their suburbs,City of Melbourne,Inner,West Melbourne,1
3011,Western municipalities and their suburbs,City of Maribyrnong,Mid,"Footscray, Seddon",6
3012,Western municipalities and their suburbs,City of Maribyrnong,Mid,"Brooklyn, Brooklyn, Kingsville, Maidstone, West Footscray",3
3013,Western municipalities and their suburbs,City of Maribyrnong,Mid,"Yarraville, Aintree, Bonnie Brook",5
3015,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Newport, Spotswood, South Kingsville",6
3016,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Williamstown, Williamstown North",6
3018,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Altona, Seaholme",5
3019,Western municipalities and their suburbs,City of Maribyrnong,Mid,Braybrook,6
3020,Western municipalities and their suburbs,City of Brimbank,Mid,"Albion, Sunshine, Sunshine North, Sunshine West",18
3021,Western municipalities and their suburbs,City of Brimbank,Mid,"Albanvale, Kealba, Kings Park, St Albans",17
3022,Western municipalities and their suburbs,City of Brimbank,Mid,Ardeer,2
3023,Western municipalities and their suburbs,City of Brimbank,Mid,"Cairnlea, Deer Park, Burnside, Burnside Heights, Caroline Springs, Cobblebank, Deanside",15
3024,Western municipalities and their suburbs,City of Wyndham,Outer,"Manor Lakes, Wyndham Vale, Mambourin",5
3025,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Altona North, Altona East",3
3028,Western municipalities and their suburbs,City of Hobsons Bay,Mid,"Altona Meadows, Laverton South, Laverton, Seabrook, Laverton",8
3029,Western municipalities and their suburbs,City of Wyndham,Outer,"Truganina, Weir Views, Hoppers Crossing, Tarneit, Truganina",26
3030,Western municipalities and their suburbs,City of Wyndham,Outer,"Derrimut, Point Cook, Sanctuary Lakes, Werribee, Werribee South",25
3031,Northern municipalities and their suburbs,City of Moonee Valley,Mid,"Flemington, Kensington",7
