POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,NAME,Suburb,Latitude,Longitude,SUBURB_NAMES
3053,Inner City municipalities and their suburbs,City of Melbourne,Inner,King & Godfree,Carlton,-37.798456,144.967093,Carlton
3054,Inner City municipalities and their suburbs,City of Yarra,Inner,Foodworks,Carlton North,-37.7889872,144.9760904,"Carlton North, Carlton North, Princes Hill"
3031,Northern municipalities and their suburbs,City of Moonee Valley,Mid,Foodworks,Kensington,-37.7943305,144.9298657,"Flemington, Kensington"
3051,Inner City municipalities and their suburbs,City of Melbourne,Inner,North Melbourne Supa IGA + Liquor,North Melbourne,-37.8045946,144.9497728472503,North Melbourne
3207,Inner City municipalities and their suburbs,City of Port Phillip,Inner,About Life,Port Melbourne,-37.84107,144.940275,"Port Melbourne, Port Melbourne, Garden City"
3141,Southeastern municipalities and their suburbs,City of Stonnington,Mid,ALDI,South Yarra,-37.8458636,144.9935728,"South Yarra, South Yarra"
3003,Inner City municipalities and their suburbs,City of Melbourne,Inner,ALDI,West Melbourne,-37.8079175,144.9485818733151,West Melbourne
3206,Inner City municipalities and their suburbs,City of Port Phillip,Inner,Gumtree,Middle Park,-37.85074685,144.9637522958027,"Albert Park, Middle Park"
3183,Inner City municipalities and their suburbs,City of Port Phillip,Inner,Woolworths,Balaclava,-37.868243,144.991277,"Balaclava, St Kilda East, St Kilda East"
3182,Inner City municipalities and their suburbs,City of Port Phillip,Inner,Woolworths,St Kilda,-37.8685209,144.978811,"St Kilda, St Kilda West"
3205,Inner City municipalities and their suburbs,City of Port Phillip,Inner,ALDI,Southbank,-37.829949,144.9573832,South Melbourne
3067,Inner City municipalities and their suburbs,City of Yarra,Inner,ALDI,Abbotsford,-37.809602,144.9954593,Abbotsford
3078,Inner City municipalities and their suburbs,City of Yarra,Inner,Oasis,Fairfield,-37.777905,145.0181124,"Alphington, Fairfield, Alphington, Fairfield"
3121,Inner City municipalities and their suburbs,City of Yarra,Inner,Coles,Richmond,-37.8254909,144.9947938,"Burnley, Cremorne, Richmond"
3068,Inner City municipalities and their suburbs,City of Yarra,Inner,McCoppins Food & Wine,Fitzroy North,-37.7888604,144.9895506,"Clifton Hill, Fitzroy North"
3066,Inner City municipalities and their suburbs,City of Yarra,Inner,Coles,Collingwood,-37.803803,144.983619,Collingwood
3065,Inner City municipalities and their suburbs,City of Yarra,Inner,Coles,Fitzroy,-37.79778295,144.97799202475238,Fitzroy
3088,Northern municipalities and their suburbs,City of Banyule,Mid,Woolworths,Greensborough,-37.7048122,145.1000492459472,"Briar Hill, Greensborough, St Helena, Greensborough"
3083,Northern municipalities and their suburbs,City of Banyule,Mid,Woolworths,Bundoora,-37.695027550000006,145.0585210566186,"Bundoora, Bundoora, Kingsbury, Bundoora"
3084,Northern municipalities and their suburbs,City of Banyule,Mid,ALDI,Heidelberg,-37.75528455,145.06889030000002,"Eaglemont, Heidelberg, Rosanna, Viewbank"
3095,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Tip Top Butchers,Eltham,-37.7205919,145.1378733,"Eltham, Eltham North, Eltham, Eltham North, Research"
3081,Northern municipalities and their suburbs,City of Banyule,Mid,ALDI,Heidelberg West,-37.7487656,145.0407238,"Heidelberg Heights, Heidelberg West"
3079,Northern municipalities and their suburbs,City of Banyule,Mid,Coles,Ivanhoe,-37.7680454,145.0418526618643,"Ivanhoe, Ivanhoe East"
3094,Northern municipalities and their suburbs,City of Banyule,Mid,Natural Food Market,Montmorency,-37.7165059,145.1209881,Montmorency
3087,Northern municipalities and their suburbs,City of Banyule,Mid,IGA,Watsonia,-37.7126927,145.0925869,"Watsonia, Watsonia North"
3070,Northern municipalities and their suburbs,City of Darebin,Mid,Terra Madre,Northcote,-37.779658749999996,144.9966349,"Northcote, Westgarth"
3072,Northern municipalities and their suburbs,City of Darebin,Mid,Woolworths,Preston,-37.7371422,145.00283395229087,Preston
3073,Northern municipalities and their suburbs,City of Darebin,Mid,Coles,Reservoir,-37.71460545,145.00727227420418,Reservoir
3071,Northern municipalities and their suburbs,City of Darebin,Mid,Front Cover,Thornbury,-37.7527592,145.00182932347377,Thornbury
3047,Northern municipalities and their suburbs,City of Hume,Outer,ALDI,Broadmeadows,-37.6784478,144.9196794,"Broadmeadows, Dallas, Jacana"
3048,Northern municipalities and their suburbs,City of Hume,Outer,Coles,Roxburgh Park,-37.638387,144.9323564,"Coolaroo, Meadow Heights"
3064,Northern municipalities and their suburbs,City of Hume,Outer,ALDI,Craigieburn,-37.5946365,144.9143905,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook"
3043,Northern municipalities and their suburbs,City of Moreland,Mid,ALDI,Gladstone Park,-37.6875338,144.8843357,"Gladstone Park, Tullamarine, Gowanbrae, Tullamarine"
3429,Northern municipalities and their suburbs,City of Hume,Outer,ALDI,,-37.57827055,144.71236817513807,Sunbury
3040,Northern municipalities and their suburbs,City of Moonee Valley,Mid,Foodworks,Essendon,-37.7544234,144.9155326,"Aberfeldie, Essendon, Essendon West"
3042,Northern municipalities and their suburbs,City of Moonee Valley,Mid,Coles,Airport West,-37.7149789,144.88468,"Airport West, Niddrie, Keilor Park"
3032,Northern municipalities and their suburbs,City of Moonee Valley,Mid,ALDI,Maribyrnong,-37.7842971,144.89222954142537,"Ascot Vale, Travancore, Maribyrnong"
3034,Northern municipalities and their suburbs,City of Moonee Valley,Mid,ALDI,Keilor East,-37.7497051,144.8605537,Avondale Heights
3041,Northern municipalities and their suburbs,City of Moonee Valley,Mid,Coles,Essendon Fields,-37.7272917,144.895358,"Essendon North, Strathmore, Strathmore Heights"
3039,Northern municipalities and their suburbs,City of Moonee Valley,Mid,ALDI,Moonee Ponds,-37.7653328,144.9230314,Moonee Ponds
3056,Northern municipalities and their suburbs,City of Moreland,Mid,Woolworths,Brunswick,-37.7758181,144.9618499,Brunswick
3057,Northern municipalities and their suburbs,City of Moreland,Mid,Organic Wholefoods,Brunswick East,-37.7634376,144.9730183,Brunswick East
3055,Northern municipalities and their suburbs,City of Moreland,Mid,Melba's Food Hall,Brunswick West,-37.77189135,144.94983320385953,Brunswick West
3058,Northern municipalities and their suburbs,City of Moreland,Mid,Woolworths,Coburg,-37.7437827,144.96382497127422,"Coburg, Coburg East, Coburg North"
3060,Northern municipalities and their suburbs,City of Moreland,Mid,Coles,Campbellfield,-37.6888305,144.9600049,Fawkner
3046,Northern municipalities and their suburbs,City of Moreland,Mid,Coles,Glenroy,-37.70531775,144.91680331001749,"Glenroy, Hadfield, Oak Park"
3044,Northern municipalities and their suburbs,City of Moreland,Mid,Piedimonte's IGA,Pascoe Vale South,-37.7392053,144.9467635,"Pascoe Vale, Pascoe Vale South, Coonans Hill"
3076,Northern municipalities and their suburbs,City of Whittlesea,Outer,Woolworths,Epping,-37.6278019,145.0274063,Epping
3075,Northern municipalities and their suburbs,City of Whittlesea,Outer,Woolworths,Lalor,-37.67228935,145.01453524720932,Lalor
3082,Northern municipalities and their suburbs,City of Whittlesea,Outer,Woolworths,South Morang,-37.6485806,145.07500176193406,Mill Park
3752,Northern municipalities and their suburbs,City of Whittlesea,Outer,Coles,South Morang,-37.6296782,145.0793500114724,South Morang
3074,Northern municipalities and their suburbs,City of Whittlesea,Outer,FoodWorks Thomastown,Thomastown,-37.6813787,145.0253087,Thomastown
3103,Eastern municipalities and their suburbs,City of Boroondara,Mid,Coles,Balwyn,-37.8038542,145.1021788,"Balwyn, Deepdene"
3104,Eastern municipalities and their suburbs,City of Boroondara,Mid,ALDI,Balwyn North,-37.7912353,145.0947384,Balwyn North
3122,Eastern municipalities and their suburbs,City of Boroondara,Mid,Renaissance IGA,Hawthorn,-37.82824645,145.03463277349132,Hawthorn
3123,Eastern municipalities and their suburbs,City of Boroondara,Mid,Woolworths,Hawthorn East,-37.8456299,145.0422777,Hawthorn East
3101,Eastern municipalities and their suburbs,City of Boroondara,Mid,Leo's Fine Food & Wine,Kew,-37.806275600000006,145.0292848804172,Kew
3102,Eastern municipalities and their suburbs,City of Boroondara,Mid,IGA,Kew East,-37.798545,145.0520745,"Kew East, Kew North"
3127,Eastern municipalities and their suburbs,City of Boroondara,Mid,Coles Local,Surrey Hills,-37.824167700000004,145.09724160860884,"Mont Albert, Mont Albert North, Surrey Hills, Mont Albert, Surrey Hills"
3153,Eastern municipalities and their suburbs,City of Knox,Mid,Woolworths,Bayswater,-37.84083255,145.26266705457908,"Bayswater, Bayswater North"
3155,Eastern municipalities and their suburbs,City of Knox,Mid,Coles,Boronia,-37.8612829,145.2875436,Boronia
3156,Eastern municipalities and their suburbs,City of Knox,Mid,Woolworths,Ferntree Gully,-37.88943505,145.29366295946193,"Ferntree Gully, Lysterfield, Upper Ferntree Gully, Upper Ferntree Gully, Lysterfield, Lysterfield South"
3180,Eastern municipalities and their suburbs,City of Knox,Mid,IGA,Knoxfield,-37.8943769,145.2497208,Knoxfield
3178,Eastern municipalities and their suburbs,City of Knox,Mid,ALDI,Rowville,-37.9287015,145.2513265,Rowville
3152,Eastern municipalities and their suburbs,City of Knox,Mid,Ritchies,Wantirna,-37.847752400000005,145.23303317234496,"Wantirna, Wantirna South, Studfield"
3105,Eastern municipalities and their suburbs,City of Manningham,Mid,Coles,Bulleen,-37.7652693,145.0918512,Bulleen
3108,Eastern municipalities and their suburbs,City of Manningham,Mid,Coles,Doncaster,-37.7869266,145.1257942,Doncaster
3109,Eastern municipalities and their suburbs,City of Manningham,Mid,Coles,Doncaster East,-37.7914336,145.1718422,Doncaster East
