POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,Supermarket_Count
3003,Inner City municipalities and their suburbs,City of Melbourne,Inner,1
3011,Western municipalities and their suburbs,City of Maribyrnong,Mid,1
3012,Western municipalities and their suburbs,City of Maribyrnong,Mid,1
3013,Western municipalities and their suburbs,City of Maribyrnong,Mid,1
3016,Western municipalities and their suburbs,City of Hobsons Bay,Mid,1
3018,Western municipalities and their suburbs,City of Hobsons Bay,Mid,1
3020,Western municipalities and their suburbs,City of Brimbank,Mid,1
3021,Western municipalities and their suburbs,City of Brimbank,Mid,1
3023,Western municipalities and their suburbs,City of Brimbank,Mid,1
3024,Western municipalities and their suburbs,City of Wyndham,Outer,1
3025,Western municipalities and their suburbs,City of Hobsons Bay,Mid,1
3028,Western municipalities and their suburbs,City of Hobsons Bay,Mid,1
3029,Western municipalities and their suburbs,City of Wyndham,Outer,1
3030,Western municipalities and their suburbs,City of Wyndham,Outer,1
3031,Northern municipalities and their suburbs,City of Moonee Valley,Mid,1
3032,Northern municipalities and their suburbs,City of Moonee Valley,Mid,1
3034,Northern municipalities and their suburbs,City of Moonee Valley,Mid,1
3037,Western municipalities and their suburbs,City of Brimbank,Mid,1
3038,Western municipalities and their suburbs,City of Brimbank,Mid,1
3039,Northern municipalities and their suburbs,City of Moonee Valley,Mid,1
3040,Northern municipalities and their suburbs,City of Moonee Valley,Mid,1
3041,Northern municipalities and their suburbs,City of Moonee Valley,Mid,1
3042,Northern municipalities and their suburbs,City of Moonee Valley,Mid,1
3043,Northern municipalities and their suburbs,City of Moreland,Mid,1
3044,Northern municipalities and their suburbs,City of Moreland,Mid,1
3046,Northern municipalities and their suburbs,City of Moreland,Mid,1
3047,Northern municipalities and their suburbs,City of Hume,Outer,1
3048,Northern municipalities and their suburbs,City of Hume,Outer,1
3051,Inner City municipalities and their suburbs,City of Melbourne,Inner,1
3053,Inner City municipalities and their suburbs,City of Melbourne,Inner,1
3054,Inner City municipalities and their suburbs,City of Yarra,Inner,1
3055,Northern municipalities and their suburbs,City of Moreland,Mid,1
3056,Northern municipalities and their suburbs,City of Moreland,Mid,1
3057,Northern municipalities and their suburbs,City of Moreland,Mid,1
3058,Northern municipalities and their suburbs,City of Moreland,Mid,1
3060,Northern municipalities and their suburbs,City of Moreland,Mid,1
3064,Northern municipalities and their suburbs,City of Hume,Outer,1
3065,Inner City municipalities and their suburbs,City of Yarra,Inner,1
3066,Inner City municipalities and their suburbs,City of Yarra,Inner,1
3067,Inner City municipalities and their suburbs,City of Yarra,Inner,1
3068,Inner City municipalities and their suburbs,City of Yarra,Inner,1
3070,Northern municipalities and their suburbs,City of Darebin,Mid,1
3071,Northern municipalities and their suburbs,City of Darebin,Mid,1
3072,Northern municipalities and their suburbs,City of Darebin,Mid,1
3073,Northern municipalities and their suburbs,City of Darebin,Mid,1
3074,Northern municipalities and their suburbs,City of Whittlesea,Outer,1
3075,Northern municipalities and their suburbs,City of Whittlesea,Outer,1
3076,Northern municipalities and their suburbs,City of Whittlesea,Outer,1
3078,Inner City municipalities and their suburbs,City of Yarra,Inner,1
3079,Northern municipalities and their suburbs,City of Banyule,Mid,1
3081,Northern municipalities and their suburbs,City of Banyule,Mid,1
3082,Northern municipalities and their suburbs,City of Whittlesea,Outer,1
3083,Northern municipalities and their suburbs,City of Banyule,Mid,1
3084,Northern municipalities and their suburbs,City of Banyule,Mid,1
3087,Northern municipalities and their suburbs,City of Banyule,Mid,1
3088,Northern municipalities and their suburbs,City of Banyule,Mid,1
3094,Northern municipalities and their suburbs,City of Banyule,Mid,1
3095,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,1
3101,Eastern municipalities and their suburbs,City of Boroondara,Mid,1
3102,Eastern municipalities and their suburbs,City of Boroondara,Mid,1
3103,Eastern municipalities and their suburbs,City of Boroondara,Mid,1
3104,Eastern municipalities and their suburbs,City of Boroondara,Mid,1
3105,Eastern municipalities and their suburbs,City of Manningham,Mid,1
3106,Eastern municipalities and their suburbs,City of Manningham,Mid,1
3107,Eastern municipalities and their suburbs,City of Manningham,Mid,1
3108,Eastern municipalities and their suburbs,City of Manningham,Mid,1
3109,Eastern municipalities and their suburbs,City of Manningham,Mid,1
3116,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,1
3121,Inner City municipalities and their suburbs,City of Yarra,Inner,1
3122,Eastern municipalities and their suburbs,City of Boroondara,Mid,1
3123,Eastern municipalities and their suburbs,City of Boroondara,Mid,1
3125,Eastern municipalities and their suburbs,City of Whitehorse,Mid,1
3127,Eastern municipalities and their suburbs,City of Boroondara,Mid,1
3128,Eastern municipalities and their suburbs,City of Whitehorse,Mid,1
3130,Eastern municipalities and their suburbs,City of Whitehorse,Mid,1
3131,Eastern municipalities and their suburbs,City of Whitehorse,Mid,1
3132,Eastern municipalities and their suburbs,City of Whitehorse,Mid,1
3133,Eastern municipalities and their suburbs,City of Whitehorse,Mid,1
3134,Eastern municipalities and their suburbs,City of Maroondah,Mid,1
3135,Eastern municipalities and their suburbs,City of Maroondah,Mid,1
3136,Eastern municipalities and their suburbs,City of Maroondah,Mid,1
3138,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,1
3140,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,1
3141,Southeastern municipalities and their suburbs,City of Stonnington,Mid,1
3142,Southeastern municipalities and their suburbs,City of Stonnington,Mid,1
3144,Southeastern municipalities and their suburbs,City of Stonnington,Mid,1
3145,Southeastern municipalities and their suburbs,City of Stonnington,Mid,1
3149,Southeastern municipalities and their suburbs,City of Monash,Mid,1
3150,Southeastern municipalities and their suburbs,City of Monash,Mid,1
3151,Eastern municipalities and their suburbs,City of Whitehorse,Mid,1
3152,Eastern municipalities and their suburbs,City of Knox,Mid,1
3153,Eastern municipalities and their suburbs,City of Knox,Mid,1
3155,Eastern municipalities and their suburbs,City of Knox,Mid,1
3156,Eastern municipalities and their suburbs,City of Knox,Mid,1
3158,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,1
3160,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,1
3162,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,1
3163,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,1
3166,Southeastern municipalities and their suburbs,City of Monash,Mid,1
3168,Southeastern municipalities and their suburbs,City of Monash,Mid,1
3169,Southeastern municipalities and their suburbs,City of Kingston,Mid,1
3170,Southeastern municipalities and their suburbs,City of Monash,Mid,1
3171,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,1
3172,Southeastern municipalities and their suburbs,City of Kingston,Mid,1
3173,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,1
3174,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,1
3175,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,1
3177,Southeastern municipalities and their suburbs,City of Casey,Outer,1
3178,Eastern municipalities and their suburbs,City of Knox,Mid,1
3180,Eastern municipalities and their suburbs,City of Knox,Mid,1
3181,Southeastern municipalities and their suburbs,City of Stonnington,Mid,1
3182,Inner City municipalities and their suburbs,City of Port Phillip,Inner,1
3183,Inner City municipalities and their suburbs,City of Port Phillip,Inner,1
