POST_CODE,CITY_SHIRE,SUBURB_GROUP,Median house price,Population,Crimes against the person,Property and deception offences,Drug offences,Public order and security offences,Justice procedures offences,Other offences,Grand Total
3175,City of Greater Dandenong,Outer,740000,33236,12767,39338,3638,6550,13112,1748,77153
3199,City of Frankston,Outer,974750,19969,8645,30246,2450,5635,12374,915,60265
3030,City of Brimbank,Mid,753800,7469,8805,29915,1737,2397,7261,642,50757
3977,Shire of Cardinia,Outer,766045.4545,22891,9735,30255,1940,1820,6019,801,50570
3029,City of Melton,Outer,626625,35827,8156,33283,1306,1748,4221,601,49315
3020,City of Brimbank,Mid,796625,5832,6838,25550,1852,2642,9712,709,47303
3064,City of Hume,Outer,661400,27610,8320,26452,1435,1387,4230,928,42752
3072,City of Darebin,Mid,1158000,25327,4358,27874,1225,1644,3696,396,39193
3021,City of Brimbank,Mid,653875,57870,6921,23150,2185,1894,3620,754,38524
3182,City of Port Phillip,Inner,2070000,11421,5145,21173,2131,4031,2787,721,35988
3121,City of Yarra,Mid,1424666.667,11966,4063,22233,2337,3300,2691,811,35435
3073,City of Darebin,Mid,940000,29736,5069,21481,1550,1342,3564,569,33575
3047,City of Hume,Outer,590333.3333,12300,5325,15673,1438,1672,8171,588,32867
3337,City of Melton,Outer,533666.6667,18772,6572,19050,1099,1384,3888,461,32454
3023,City of Brimbank,Mid,729928.5714,119776,5116,20505,1306,1091,2977,424,31419
3805,City of Casey,Outer,773750,22383,5745,18421,1256,1214,2985,291,29912
3810,Shire of Cardinia,Outer,652000,17480,5427,16482,1179,1528,3661,502,28779
3181,City of Stonnington,Mid,1725000,7986,3306,17064,1415,3033,1870,599,27287
3058,City of Moreland,Mid,1095833.333,39949,3309,19438,712,989,2077,242,26767
3134,City of Manningham,Mid,1193833.333,32176,3262,13440,824,1738,6951,172,26387
3076,City of Whittlesea,Outer,677000,9791,4249,15833,895,828,2527,387,24719
3011,City of Maribyrnong,Mid,1020000,13926,3465,14997,1046,2095,2234,462,24299
3032,City of Moonee Valley,Mid,1310000,42705,2841,17864,855,879,1535,265,24239
3174,City of Greater Dandenong,Outer,775000,10182,4599,13515,1261,1502,2387,328,23592
3056,City of Moreland,Mid,1325000,4308,2493,17429,527,979,1448,223,23099
3046,City of Moreland,Mid,964333.3333,53405,3602,13151,799,852,2446,333,21183
3141,City of Melbourne,Inner,1937500,20229,2530,14473,815,1208,1230,400,20656
3065,City of Yarra,Mid,1502500,5791,2880,13904,571,1490,1116,212,20173
3429,City of Hume,Outer,670000,25585,3788,11252,931,964,2580,355,19870
3083,City of Banyule,Mid,817500,18616,2615,14126,672,587,1593,191,19784
3150,City of Monash,Mid,1622500,28606,2675,13958,673,704,1470,292,19772
3145,City of Glen Eira,Mid,2275000,23600,1765,14733,424,763,1065,249,18999
3084,City of Banyule,Mid,1567500,22605,1910,7522,566,683,7218,104,18003
3806,City of Casey,Outer,885000,16710,3297,11116,756,691,1703,150,17713
3171,City of Greater Dandenong,Outer,885000,9470,2624,10860,1013,1081,1510,304,17392
3012,City of Brimbank,Mid,986125,15862,2028,12898,527,623,1148,162,17386
3136,City of Maroondah,Mid,984250,16627,3248,9733,860,1192,2113,173,17319
3205,City of Port Phillip,Inner,1850000,15967,2182,11635,541,1048,1544,352,17302
3031,City of Melbourne,Inner,1151750,12145,2373,10794,1404,1180,1266,276,17293
3152,City of Knox,Mid,1094166.667,36130,2248,11203,1007,855,1719,197,17229
3074,City of Whittlesea,Outer,710000,23590,2746,11198,800,634,1589,246,17213
3338,City of Melton,Outer,621000,18580,3698,10074,522,652,1939,244,17129
3066,City of Yarra,Mid,1295500,26697,2043,11057,456,1119,1801,302,16778
3156,City of Knox,Mid,1215500,22957,2605,10360,947,748,1537,218,16415
3053,City of Melbourne,Inner,1500000,25088,2164,11936,475,800,800,214,16389
3195,City of Kingston,Mid,1380400,16574,2168,10580,555,909,1416,267,15895
3038,City of Brimbank,Mid,861666.6667,28150,2107,10870,443,571,1741,129,15861
3037,City of Brimbank,Mid,678750,19968,2850,10211,622,496,1407,141,15727
3207,City of Melbourne,Inner,1748000,23197,1756,11370,433,631,983,197,15370
3070,City of Darebin,Mid,1784250,23813,1442,12020,350,559,816,128,15315
3754,Shire of Nillumbik,Outer,710750,55692,2810,9344,537,457,1975,135,15258
3931,Shire of Mornington Peninsula,Outer,1133500,21263,2064,7678,659,3129,1521,204,15255
3166,City of Monash,Mid,1330875,28035,1863,10606,551,695,1288,214,15217
3155,City of Knox,Mid,832500,12169,2441,8376,1079,1006,2078,153,15133
3153,City of Knox,Mid,885750,17903,2234,9326,811,756,1647,118,14892
3198,City of Frankston,Outer,880000,8229,2151,8826,866,1008,1761,257,14869
3082,City of Whittlesea,Outer,786000,21238,2758,8967,614,481,1861,102,14783
3128,City of Whitehorse,Mid,1576250,15048,2133,9980,398,664,1233,232,14640
3192,City of Bayside,Mid,1189000,35841,1778,10608,403,607,1009,119,14524
3028,City of Hobsons Bay,Mid,714250,33608,2517,9150,518,656,1473,156,14470
3168,City of Monash,Mid,1163833.333,13239,2035,10180,472,580,807,189,14263
3081,City of Banyule,Mid,924000,17466,2437,7976,730,697,1897,214,13951
3068,City of Yarra,Mid,1670000,34338,1264,10924,317,508,566,122,13701
3201,City of Frankston,Outer,715000,63876,2176,7620,651,708,1723,210,13088
3043,City of Hume,Outer,796666.6667,11567,1706,9183,402,368,1084,135,12878
3051,City of Melbourne,Inner,1305000,134133,2008,8179,534,945,957,224,12847
3048,City of Hume,Outer,555000,10054,2724,6727,653,631,1646,280,12661
3163,City of Glen Eira,Mid,1644500,16580,1454,9087,322,482,851,104,12300
3173,City of Greater Dandenong,Outer,911500,13258,1722,8613,510,391,882,121,12239
3178,City of Knox,Mid,1080000,30333,1719,8051,723,458,1141,82,12174
3088,City of Banyule,Mid,1059333.333,24517,1625,8001,354,436,1575,127,12118
3024,City of Melton,Outer,619833.3333,26225,2451,7343,373,397,1358,134,12056
