,POST_CODE,SUBURB_GROUP,Median house price
18,3031,Inner,1151750.0
34,3051,Inner,1305000.0
1,3003,Inner,1387500.0
36,3053,Inner,1500000.0
135,3183,Inner,1648500.0
157,3207,Inner,1748000.0
37,3054,Inner,1768750.0
155,3205,Inner,1850000.0
35,3052,Inner,1910000.0
137,3185,Inner,1936666.6666666667
10,3021,Mid,653875.0
23,3037,Mid,678750.0
11,3022,Mid,682000.0
15,3028,Mid,714250.0
12,3023,Mid,729928.5714285715
17,3030,Mid,753800.0
43,3060,Mid,770000.0
8,3019,Mid,795000.0
9,3020,Mid,796625.0
61,3083,Mid,817500.0
159,3337,Outer,533666.6666666666
33,3048,Outer,555000.0
32,3047,Outer,590333.3333333334
44,3061,Outer,605000.0
152,3200,Outer,610000.0
13,3024,Outer,619833.3333333334
160,3338,Outer,621000.0
16,3029,Outer,626625.0
166,3756,Outer,630000.0
161,3427,Outer,650500.0
