POST_CODE,SUBURB_GROUP,SUBURB_NAMES,Median House Price 2022,Total Crime 2023,Estimated_Resident_Population_2021,Crime/Population Quotient,School_Count_2022,Has Hospital,Has Police Station,Has Supermarket,Affordability Livability Grade,Crime Livability Grade,School Livability Grade,Final Liveability Grade
3138,Outer,Mooroolbark,870000.0,671,23447,2.8617733611975944,10,1.0,1.0,1.0,4,4,3,14.0
3777,Outer,"Badger Creek, Healesville, Healesville",762500.0,369,14181,2.602073196530569,7,1.0,0.0,1.0,5,5,2,14.0
3140,Outer,Lilydale,877500.0,905,19783,4.574634787443765,8,1.0,1.0,1.0,4,4,3,14.0
3337,Outer,"Kurunjang, Melton, Melton West",533666.6666666666,2765,21502,12.85926890521812,15,1.0,1.0,1.0,5,2,3,13.0
3757,Outer,Whittlesea,740000.0,259,10747,2.4099748767097795,5,0.0,1.0,0.0,5,5,2,13.0
3028,Mid,"Altona Meadows, Laverton South, Laverton, Seabrook, Laverton",714250.0,1255,18665,6.72381462630592,8,0.0,1.0,1.0,5,3,3,13.0
3802,Outer,Endeavour Hills,815000.0,834,12191,6.841112295956033,10,1.0,1.0,1.0,4,3,3,13.0
3135,Mid,"Heathmont, Eastwood, Ringwood East",880666.6666666666,596,21351,2.7914383401245844,7,1.0,0.0,1.0,4,5,2,13.0
3910,Outer,Langwarrin,860000.0,640,25248,2.5348542458808616,5,1.0,0.0,1.0,4,5,2,13.0
3915,Outer,"Hastings, Hastings West",694500.0,988,24240,4.075907590759076,4,1.0,1.0,1.0,5,4,1,13.0
3160,Outer,"Belgrave, Belgrave Heights, Belgrave South, Tecoma",915500.0,269,10095,2.6646854878652797,5,0.0,1.0,1.0,4,5,2,13.0
3095,Outer,"Eltham, Eltham North, Eltham, Eltham North, Research",1297833.3333333333,629,23711,2.652777192020581,11,0.0,1.0,1.0,2,5,3,12.0
3132,Mid,Mitcham,1200000.0,481,16935,2.840271626808385,5,1.0,1.0,1.0,3,4,2,12.0
3088,Mid,"Briar Hill, Greensborough, St Helena, Greensborough",1059333.3333333333,892,20997,4.248225937038624,11,0.0,1.0,1.0,3,4,3,12.0
3060,Mid,Fawkner,770000.0,645,14193,4.544493764531811,6,0.0,0.0,1.0,5,4,2,12.0
3151,Mid,Burwood East,1257500.0,498,10778,4.620523288179625,5,1.0,1.0,1.0,3,4,2,12.0
3076,Outer,Epping,677000.0,2012,13272,15.159734779987943,10,1.0,1.0,1.0,5,1,3,12.0
3047,Outer,"Broadmeadows, Dallas, Jacana",590333.3333333334,3025,14071,21.49811669390946,14,1.0,1.0,1.0,5,1,3,12.0
3155,Mid,Boronia,832500.0,1294,23831,5.429902228190173,5,1.0,1.0,1.0,4,3,2,12.0
3158,Outer,Upwey,890000.0,158,9848,1.6043866774979691,3,1.0,0.0,1.0,4,5,1,12.0
3064,Outer,"Craigieburn, Roxburgh Park, Kalkallo, Mickleham, Donnybrook",661400.0,4042,8197,49.3107234354032,22,1.0,1.0,1.0,5,1,3,12.0
3429,Outer,Sunbury,670000.0,1604,13786,11.634992020890758,14,0.0,1.0,1.0,5,2,3,12.0
3074,Outer,Thomastown,710000.0,1430,20211,7.075355004700411,8,0.0,0.0,1.0,5,3,3,12.0
3939,Outer,"Rosebud, Rosebud South, Cape Schanck, Fingal",1275625.0,948,23139,4.0969791261506545,5,1.0,1.0,1.0,3,4,2,12.0
3815,Outer,Bunyip,750000.0,71,9939,0.7143575812455981,2,0.0,1.0,0.0,5,5,1,12.0
3030,Outer,"Derrimut, Point Cook, Sanctuary Lakes, Werribee, Werribee South",753800.0,5894,8751,67.35230259398925,25,1.0,1.0,1.0,5,1,3,12.0
3793,Outer,Monbulk,799000.0,106,5857,1.8098002390302201,4,0.0,1.0,1.0,4,5,1,12.0
3796,Outer,Mount Evelyn,875000.0,223,9863,2.260975362465781,5,0.0,1.0,0.0,4,5,2,12.0
