Postcode,Hospital Count
3000,3
3002,9
3004,1
3011,2
3016,1
3018,1
3021,1
3030,4
3038,1
3042,1
3044,2
3047,2
3050,2
3051,1
3052,3
3056,1
3058,5
3064,1
3065,2
3073,1
3076,3
3078,2
3079,2
3083,3
3084,4
3086,2
3101,3
3111,1
3121,4
3122,1
3125,3
3127,1
3128,1
3129,2
3131,2
3132,1
3133,1
3135,2
3138,1
3140,1
3144,1
3146,1
3149,1
3150,1
3151,2
3152,2
3153,1
3155,1
3158,1
3161,1
3162,1
3165,1
3168,4
3169,1
3170,3
3174,4
3181,1
3183,1
3185,2
3186,1
3188,1
3189,1
3191,1
3194,1
3199,4
3202,1
3214,1
3337,1
3777,1
3799,1
3800,3
3802,2
3806,2
3910,2
3915,1
3931,3
3939,1
3977,1
