,Postcode,Postcode,Postcode,Postcode
,,Police Count,Hospital Count,Supermarket Count
Postcode,,,,
0,3000,6.0,3.0,6.0
98,3002,,9.0,2.0
135,3003,,,1.0
99,3004,,1.0,
1,3006,1.0,,2.0
136,3008,,,3.0
2,3011,1.0,2.0,5.0
137,3012,,,2.0
138,3013,,,1.0
3,3016,1.0,1.0,2.0
4,3018,1.0,1.0,1.0
5,3020,1.0,,3.0
100,3021,,1.0,3.0
6,3023,2.0,,6.0
139,3024,,,3.0
7,3025,1.0,,3.0
8,3028,1.0,,4.0
9,3029,2.0,,8.0
10,3030,2.0,4.0,7.0
11,3031,1.0,,5.0
140,3032,,,7.0
12,3034,3.0,,2.0
141,3037,,,2.0
13,3038,1.0,1.0,6.0
14,3039,1.0,,2.0
142,3040,,,2.0
15,3041,1.0,,2.0
101,3042,,1.0,2.0
143,3043,,,1.0
102,3044,,2.0,1.0
16,3045,5.0,,
17,3046,1.0,,1.0
18,3047,1.0,2.0,4.0
144,3048,,,1.0
19,3049,1.0,,2.0
103,3050,,2.0,
20,3051,1.0,1.0,4.0
104,3052,,3.0,
145,3053,,,1.0
146,3054,,,1.0
147,3055,,,4.0
21,3056,2.0,1.0,8.0
148,3057,,,4.0
105,3058,,5.0,2.0
149,3060,,,1.0
22,3064,1.0,1.0,3.0
23,3065,1.0,2.0,9.0
24,3066,1.0,,3.0
25,3067,1.0,,4.0
150,3068,,,3.0
26,3070,1.0,,4.0
151,3071,,,4.0
27,3072,3.0,,7.0
28,3073,2.0,1.0,3.0
152,3074,,,1.0
153,3075,,,5.0
29,3076,1.0,3.0,3.0
106,3078,,2.0,3.0
107,3079,,2.0,2.0
154,3081,,,3.0
30,3082,1.0,,2.0
108,3083,,3.0,2.0
31,3084,1.0,4.0,4.0
32,3086,1.0,2.0,
155,3087,,,1.0
33,3088,1.0,,3.0
34,3089,1.0,,
156,3093,,,1.0
157,3094,,,2.0
35,3095,1.0,,4.0
36,3099,1.0,,
37,3101,1.0,3.0,4.0
38,3102,1.0,,1.0
158,3103,,,2.0
159,3104,,,3.0
160,3105,,,1.0
161,3106,,,1.0
162,3107,,,2.0
163,3108,,,2.0
39,3109,1.0,,8.0
109,3111,,1.0,
40,3113,1.0,,
164,3115,,,1.0
165,3116,,,3.0
41,3121,1.0,4.0,3.0
110,3122,,1.0,1.0
166,3123,,,2.0
42,3124,1.0,,
43,3125,1.0,3.0,1.0
167,3126,,,3.0
111,3127,,1.0,1.0
44,3128,1.0,1.0,2.0
112,3129,,2.0,
168,3130,,,3.0
45,3131,2.0,2.0,4.0
46,3132,1.0,1.0,1.0
113,3133,,1.0,2.0
47,3134,1.0,,9.0
114,3135,,2.0,4.0
48,3136,1.0,,9.0
49,3138,1.0,1.0,2.0
169,3139,,,4.0
50,3140,1.0,1.0,3.0
51,3141,1.0,,3.0
170,3142,,,1.0
52,3144,1.0,1.0,4.0
171,3145,,,1.0
115,3146,,1.0,
53,3147,1.0,,
172,3148,,,3.0
54,3149,1.0,1.0,1.0
55,3150,2.0,1.0,6.0
56,3151,1.0,2.0,2.0
57,3152,1.0,2.0,3.0
116,3153,,1.0,5.0
58,3155,1.0,1.0,2.0
173,3156,,,6.0
117,3158,,1.0,1.0
59,3160,1.0,,3.0
118,3161,,1.0,
60,3162,1.0,1.0,1.0
174,3163,,,2.0
119,3165,,1.0,
175,3166,,,1.0
176,3167,,,1.0
120,3168,,4.0,2.0
121,3169,,1.0,2.0
122,3170,,3.0,4.0
61,3171,1.0,,3.0
177,3172,,,4.0
178,3173,,,3.0
123,3174,,4.0,1.0
62,3175,1.0,,1.0
63,3177,1.0,,4.0
64,3178,1.0,,4.0
179,3179,,,1.0
180,3180,,,1.0
124,3181,,1.0,1.0
65,3182,2.0,,4.0
125,3183,,1.0,1.0
126,3185,,2.0,
127,3186,,1.0,3.0
128,3188,,1.0,2.0
66,3189,1.0,1.0,2.0
181,3190,,,2.0
67,3191,1.0,1.0,1.0
68,3192,1.0,,3.0
129,3194,,1.0,4.0
69,3195,1.0,,4.0
70,3196,1.0,,2.0
182,3197,,,3.0
183,3198,,,1.0
71,3199,1.0,4.0,8.0
72,3201,1.0,,4.0
130,3202,,1.0,1.0
184,3204,,,5.0
73,3205,1.0,,3.0
185,3206,,,1.0
186,3207,,,2.0
131,3214,,1.0,
187,3336,,,1.0
74,3337,1.0,1.0,3.0
188,3338,,,1.0
75,3429,1.0,,3.0
76,3617,1.0,,2.0
189,3752,,,1.0
77,3754,1.0,,
78,3757,1.0,,
190,3765,,,1.0
191,3770,,,1.0
132,3777,,1.0,3.0
79,3782,1.0,,1.0
192,3785,,,1.0
80,3788,1.0,,
193,3791,,,1.0
81,3793,1.0,,2.0
82,3796,1.0,,
83,3797,2.0,,
84,3799,1.0,1.0,
85,3800,1.0,3.0,
86,3802,1.0,2.0,2.0
87,3805,1.0,,4.0
133,3806,,2.0,4.0
194,3807,,,2.0
195,3809,,,1.0
88,3810,1.0,,6.0
89,3815,1.0,,
134,3910,,2.0,2.0
196,3911,,,1.0
90,3912,2.0,,3.0
91,3915,1.0,1.0,4.0
197,3920,,,1.0
198,3930,,,2.0
92,3931,1.0,3.0,4.0
93,3936,1.0,,2.0
199,3938,,,3.0
94,3939,1.0,1.0,1.0
200,3940,,,1.0
95,3941,1.0,,1.0
96,3943,1.0,,1.0
201,3975,,,1.0
202,3976,,,2.0
97,3977,1.0,1.0,10.0
203,3979,,,2.0
