Postcode,Supermarket Count
3000,6
3002,2
3003,1
3006,2
3008,3
3011,5
3012,2
3013,1
3016,2
3018,1
3020,3
3021,3
3023,6
3024,3
3025,3
3028,4
3029,8
3030,7
3031,5
3032,7
3034,2
3037,2
3038,6
3039,2
3040,2
3041,2
3042,2
3043,1
3044,1
3046,1
3047,4
3048,1
3049,2
3051,4
3053,1
3054,1
3055,4
3056,8
3057,4
3058,2
3060,1
3064,3
3065,9
3066,3
3067,4
3068,3
3070,4
3071,4
3072,7
3073,3
3074,1
3075,5
3076,3
3078,3
3079,2
3081,3
3082,2
3083,2
3084,4
3087,1
3088,3
3093,1
3094,2
3095,4
3101,4
3102,1
3103,2
3104,3
3105,1
3106,1
3107,2
3108,2
3109,8
3115,1
3116,3
3121,3
3122,1
3123,2
3125,1
3126,3
3127,1
3128,2
3130,3
3131,4
3132,1
3133,2
3134,9
3135,4
3136,9
3138,2
3139,4
3140,3
3141,3
3142,1
3144,4
3145,1
3148,3
3149,1
3150,6
3151,2
3152,3
3153,5
3155,2
3156,6
3158,1
3160,3
3162,1
3163,2
3166,1
3167,1
3168,2
3169,2
3170,4
3171,3
3172,4
3173,3
3174,1
3175,1
3177,4
3178,4
3179,1
3180,1
3181,1
3182,4
3183,1
3186,3
3188,2
3189,2
3190,2
3191,1
3192,3
3194,4
3195,4
3196,2
3197,3
3198,1
3199,8
3201,4
3202,1
3204,5
3205,3
3206,1
3207,2
3336,1
3337,3
3338,1
3429,3
3617,2
3752,1
3765,1
3770,1
3777,3
3782,1
3785,1
3791,1
3793,2
3802,2
3805,4
3806,4
3807,2
3809,1
3810,6
3910,2
3911,1
3912,3
3915,4
3920,1
3930,2
3931,4
3936,2
3938,3
3939,1
3940,1
3941,1
3943,1
3975,1
3976,2
3977,10
3979,2
